year,mon,day,hour,minute,latitude,longitude
2020,08,12,07,34,63.45954,10.30067
2020,08,05,22,44,71.126245,28.188831666666665
2020,08,05,00,54,70.53345333333333,30.742
2020,08,05,10,54,69.75819166666666,30.080375
2020,08,09,21,14,62.61966,6.3171816666666665
2020,08,14,07,54,69.11182,17.575828333333334
2020,08,14,05,04,68.79950833333334,16.550065
2020,08,08,06,24,66.77538666666666,13.268975
2020,08,12,22,44,65.24027,11.918426666666667
2020,08,10,23,54,61.281725,4.781321666666667
2020,08,09,20,04,62.69121666666667,6.912785
2020,08,07,00,54,69.51749333333333,18.407493333333335
2020,08,03,15,04,69.64650333333333,18.960603333333335
2020,08,10,11,24,60.591883333333335,5.155131666666667
2020,08,06,23,34,69.64649333333334,18.960561666666667
2020,08,10,21,14,60.669016666666664,4.87622
2020,08,08,20,34,64.77362,11.04773
2020,08,15,01,04,70.39969166666667,22.459305
2020,08,10,18,54,60.392785,5.309851666666667
2020,08,05,16,34,70.58976,30.583661666666668
2020,08,10,09,34,60.91042,4.76221
2020,08,07,15,24,68.36381333333334,14.947991666666667
2020,08,03,03,44,68.97443333333334,16.009508333333333
2020,08,15,00,34,70.29864333333333,22.306538333333332
2020,08,02,15,44,67.71918333333333,14.195413333333333
2020,08,15,15,44,71.03042833333333,27.18917
2020,08,10,23,44,61.248106666666665,4.73265
2020,08,03,17,24,69.76753,19.149058333333333
2020,08,10,23,24,61.17295166666667,4.73677
2020,08,14,04,24,68.82798666666666,16.60598
2020,08,08,09,54,66.10331,12.728958333333333
2020,08,05,04,14,70.05089166666667,30.075236666666665
2020,08,09,12,44,63.348526666666665,8.334536666666667
2020,08,08,18,24,64.94935333333333,11.491781666666666
2020,08,03,02,44,68.95690666666667,15.614006666666667
2020,08,10,02,44,62.046958333333336,5.136365
2020,08,09,01,44,63.77249666666667,9.327063333333333
2020,08,10,17,24,60.392783333333334,5.3098616666666665
2020,08,13,16,14,67.94624833333333,13.981446666666667
2020,08,11,02,14,61.634238333333336,4.981293333333333
2020,08,05,16,54,70.64951833333333,30.396876666666667
2020,08,15,06,14,71.00673833333333,24.479451666666666
2020,08,08,07,34,66.53973333333333,12.975765
2020,08,14,03,24,68.959075,16.125163333333333
2020,08,05,01,54,70.37476666666667,31.104725
2020,08,07,14,04,68.47845,15.211948333333334
2020,08,11,15,44,62.40750666666667,6.360431666666667
2020,08,12,21,34,64.98765666666667,11.596448333333333
2020,08,14,11,44,69.55780833333333,18.75214
2020,08,12,11,14,63.44359333333333,10.407468333333334
2020,08,08,06,44,66.69846,13.158503333333334
2020,08,04,11,04,70.980725,25.969623333333335
2020,08,06,12,04,70.58203333333333,23.17299
2020,08,04,23,44,70.72913166666666,30.065053333333335
2020,08,03,00,04,68.57137,14.911073333333333
2020,08,11,12,54,62.10467333333333,7.193056666666667
2020,08,12,22,04,65.072335,11.764236666666667
2020,08,14,01,04,68.69742333333333,15.424428333333333
2020,08,04,04,44,70.76529166666667,23.684258333333332
